 fs.data.0.disk_write_size_in_bytes,fs.data.0.disk_read_size_in_bytes
2228727808,8581140480
2228727808,8581140480
2229194752,8581201920
2229194752,8582250496
2229297152,8582250496
2229850112,8582250496
2229993472,8582258688
2230026240,8585998336
2230472704,8603492352
2230472704,8604528640
2230849536,8604528640
2231128064,8604528640
2231357440,8604528640
